Date,BIL,SHY,IEI,IEF,TLH,TLT,TIP
2010-01-04,88.54,76.76,95.91,72.4,85.38,68.08,85.92
2010-01-05,88.52,76.86,96.21,72.72,85.84,68.52,86.2
2010-01-06,88.52,76.86,96.08,72.43,85.3,67.61,85.98
2010-01-07,88.52,76.85,96.05,72.43,85.38,67.72,86.11
2010-01-08,88.52,76.92,96.19,72.52,85.54,67.69,86.29
2010-01-11,88.52,76.96,96.29,72.57,85.44,67.32,86.11
2010-01-12,88.52,77.02,96.71,73.09,86.5,68.47,86.5
2010-01-13,88.56,76.96,96.39,72.74,85.93,67.67,86.11
2010-01-14,88.54,77.03,96.62,73.08,86.47,68.62,86.34
2010-01-15,88.54,77.1,96.88,73.4,86.85,69.05,86.62
2010-01-19,88.54,77.11,96.79,73.27,86.63,68.85,86.55
2010-01-20,88.54,77.11,96.97,73.53,87.12,69.55,86.68
2010-01-21,88.54,77.18,97.24,73.8,87.68,69.86,86.85
2010-01-22,88.54,77.24,97.29,73.86,87.82,69.74,86.76
2010-01-25,88.56,77.18,97.21,73.7,87.36,69.42,86.54
2010-01-26,88.56,77.19,97.33,73.84,87.51,69.45,86.81
2010-01-27,88.57,77.16,97.12,73.67,87.4,69.41,86.58
2010-01-28,88.56,77.2,97.24,73.65,87.32,69.37,86.69
2010-01-29,88.57,77.27,97.47,73.93,87.7,69.98,87.01
2010-02-01,88.56,77.24,97.31,73.68,87.23,69.34,86.98
2010-02-02,88.54,77.25,97.36,73.8,87.38,69.54,87.13
2010-02-03,88.57,77.19,97.15,73.45,86.88,68.73,86.78
2010-02-04,88.57,77.3,97.71,74.06,87.79,69.82,87.01
2010-02-05,88.57,77.42,97.93,74.29,88.1,69.97,86.85
2010-02-08,88.57,77.37,97.83,74.23,88.04,70.07,86.72
2010-02-09,88.57,77.29,97.62,73.83,87.46,69.37,86.42
2010-02-10,88.57,77.21,97.35,73.62,86.99,68.7,86.17
2010-02-11,88.57,77.24,97.37,73.53,86.71,68.33,85.96
2010-02-12,88.57,77.3,97.56,73.71,87.0,68.61,85.96
2010-02-16,88.57,77.31,97.64,73.87,87.22,68.74,86.21
2010-02-17,88.52,77.25,97.31,73.48,86.47,67.96,86.04
2010-02-18,88.56,77.2,97.11,73.21,86.13,67.68,85.97
2010-02-19,88.52,77.17,97.0,73.26,86.39,68.05,85.82
2010-02-22,88.56,77.2,97.03,73.2,86.12,67.77,85.61
2010-02-23,88.52,77.27,97.49,73.75,87.1,68.83,85.87
2010-02-24,88.56,77.3,97.46,73.8,87.2,68.99,85.7
2010-02-25,88.56,77.37,97.78,74.07,87.47,69.38,85.7
2010-02-26,88.56,77.4,97.86,74.18,87.8,69.74,85.88
2010-03-01,88.52,77.38,97.92,74.26,87.9,69.71,85.89
2010-03-02,88.54,77.38,98.01,74.3,87.89,69.62,85.96
2010-03-03,88.52,77.37,98.01,74.22,87.67,69.44,85.92
2010-03-04,88.52,77.34,98.03,74.36,88.08,69.81,86.01
2010-03-05,88.52,77.28,97.7,74.0,87.3,68.89,85.82
2010-03-08,88.52,77.24,97.59,73.81,87.06,68.53,85.75
2010-03-09,88.52,77.3,97.71,73.99,87.12,68.55,85.9
2010-03-10,88.54,77.28,97.56,73.87,87.07,68.37,85.81
2010-03-11,88.52,77.19,97.45,73.81,87.12,68.62,85.91
2010-03-12,88.52,77.2,97.46,73.92,87.39,69.05,86.13
2010-03-15,88.52,77.22,97.51,73.92,87.39,68.96,86.11
2010-03-16,88.52,77.24,97.75,74.21,87.96,69.51,86.44
2010-03-17,88.52,77.26,97.74,74.3,88.15,69.81,86.62
2010-03-18,88.52,77.21,97.53,74.1,87.89,69.58,86.27
2010-03-19,88.52,77.16,97.36,74.0,88.04,69.65,86.1
2010-03-22,88.54,77.19,97.6,74.25,88.15,69.72,86.3
2010-03-23,88.54,77.16,97.51,74.09,87.82,69.39,86.24
2010-03-24,88.52,77.04,96.87,73.35,86.74,68.13,85.54
2010-03-25,88.56,77.07,96.74,73.08,86.25,67.69,85.43
2010-03-26,88.56,77.11,96.89,73.26,86.49,67.88,85.53
2010-03-29,88.52,77.15,96.89,73.15,86.38,67.62,85.43
2010-03-30,88.52,77.13,96.92,73.22,86.53,67.84,85.5
2010-03-31,88.56,77.19,97.1,73.4,86.8,68.3,85.87
2010-04-01,88.56,77.16,96.98,73.24,86.65,68.14,85.86
2010-04-05,88.52,76.95,96.35,72.59,85.71,67.0,85.25
2010-04-06,88.52,77.0,96.54,72.8,85.76,67.11,85.59
2010-04-07,88.52,77.12,96.89,73.25,86.6,67.97,86.2
2010-04-08,88.52,77.1,96.83,73.17,86.43,68.0,86.12
2010-04-09,88.52,77.12,96.85,73.25,86.57,68.16,86.21
2010-04-12,88.52,77.16,97.04,73.45,86.94,68.52,86.45
2010-04-13,88.52,77.14,97.15,73.59,87.11,68.74,86.52
2010-04-14,88.52,77.14,97.05,73.39,86.76,68.26,86.41
2010-04-15,88.52,77.2,97.22,73.52,86.97,68.34,86.66
2010-04-16,88.52,77.32,97.61,73.96,87.52,68.83,86.86
2010-04-19,88.54,77.24,97.4,73.78,87.22,68.67,86.66
2010-04-20,88.52,77.25,97.36,73.81,87.37,68.91,86.86
2010-04-21,88.52,77.26,97.5,74.05,87.82,69.48,87.13
2010-04-22,88.52,77.21,97.31,73.88,87.67,69.27,86.88
2010-04-23,88.52,77.18,97.16,73.67,87.36,69.03,86.89
2010-04-26,88.54,77.18,97.24,73.72,87.41,69.1,86.96
2010-04-27,88.52,77.33,97.89,74.41,88.44,70.07,87.47
2010-04-28,88.54,77.31,97.56,74.03,87.8,69.48,87.29
2010-04-29,88.54,77.33,97.7,74.16,88.16,69.77,87.75
2010-04-30,88.52,77.42,98.0,74.61,88.79,70.57,88.03
2010-05-03,88.54,77.34,97.81,74.41,88.67,70.48,87.88
2010-05-04,88.52,77.39,98.22,74.92,89.45,71.75,88.01
2010-05-05,88.54,77.49,98.54,75.21,89.75,72.17,88.05
2010-05-06,88.56,77.66,99.09,76.03,91.39,74.4,88.45
2010-05-07,88.56,77.63,99.11,75.82,90.86,73.47,88.26
2010-05-10,88.56,77.53,98.63,75.25,89.96,71.95,88.01
2010-05-11,88.56,77.57,98.73,75.34,89.95,71.76,88.18
2010-05-12,88.56,77.56,98.58,75.15,89.52,71.22,88.29
2010-05-13,88.54,77.6,98.74,75.35,89.94,71.69,88.36
2010-05-14,88.56,77.7,99.21,75.84,90.75,72.93,88.62
2010-05-17,88.56,77.68,99.07,75.68,90.45,72.66,88.31
2010-05-18,88.54,77.76,99.47,76.23,91.35,73.78,88.77
2010-05-19,88.56,77.72,99.42,76.29,91.51,74.02,88.2
2010-05-20,88.56,77.82,99.92,77.04,92.61,75.58,88.19
2010-05-21,88.56,77.76,99.89,77.08,92.66,75.66,88.25
2010-05-24,88.56,77.75,99.87,77.08,92.59,75.4,88.16
2010-05-25,88.56,77.74,99.98,77.34,92.97,75.77,87.87
2010-05-26,88.57,77.68,99.79,77.19,92.76,75.55,88.04
2010-05-27,88.54,77.62,99.25,76.45,91.43,73.84,87.71
2010-05-28,88.56,77.77,99.49,76.8,91.68,74.18,88.2
2010-06-01,88.56,77.77,99.76,76.9,92.03,74.7,88.04
2010-06-02,88.57,77.71,99.44,76.46,91.54,73.99,87.94
2010-06-03,88.54,77.7,99.36,76.35,91.18,73.45,87.99
2010-06-04,88.57,77.87,100.16,77.41,92.75,75.42,88.55
2010-06-07,88.56,77.84,100.37,77.72,93.26,76.0,88.62
2010-06-08,88.57,77.84,100.17,77.48,92.95,75.62,88.4
2010-06-09,88.57,77.84,100.21,77.49,92.95,75.54,88.49
2010-06-10,88.57,77.74,99.65,76.77,91.78,74.19,87.84
2010-06-11,88.57,77.83,100.02,77.26,92.55,75.13,88.34
2010-06-14,88.54,77.84,99.94,77.19,92.27,74.75,88.34
2010-06-15,88.54,77.81,99.74,76.95,91.94,74.44,88.23
2010-06-16,88.54,77.83,99.93,77.17,92.34,74.86,88.5
2010-06-17,88.54,77.87,100.18,77.53,92.9,75.47,88.93
2010-06-18,88.56,77.88,100.09,77.38,92.73,75.35,88.78
2010-06-21,88.54,77.89,100.01,77.32,92.58,75.13,88.83
2010-06-22,88.56,77.93,100.4,77.78,93.34,76.03,89.04
2010-06-23,88.56,77.98,100.6,78.07,93.74,76.54,89.06
2010-06-24,88.56,78.0,100.64,78.01,93.52,76.09,88.8
2010-06-25,88.56,78.03,100.74,78.13,93.77,76.4,89.11
2010-06-28,88.56,78.08,101.14,78.68,94.46,77.11,89.32
2010-06-29,88.56,78.11,101.37,79.02,95.02,77.95,89.4
2010-06-30,88.57,78.1,101.34,79.14,95.21,78.48,89.33
2010-07-01,88.56,78.07,101.28,79.1,95.25,78.6,88.82
2010-07-02,88.56,78.07,101.22,78.96,94.93,77.98,88.65
2010-07-06,88.54,78.07,101.46,79.15,95.34,78.62,88.75
2010-07-07,88.54,78.06,101.34,78.9,94.86,77.7,88.39
2010-07-08,88.56,78.07,101.21,78.71,94.62,77.2,88.52
2010-07-09,88.54,78.04,101.1,78.51,94.25,76.76,88.59
2010-07-12,88.56,78.05,101.15,78.64,94.29,76.73,88.53
2010-07-13,88.56,78.0,100.88,78.25,93.8,76.07,88.43
2010-07-14,88.56,78.08,101.27,78.64,94.41,76.84,88.68
2010-07-15,88.56,78.1,101.55,79.05,95.14,77.6,88.79
2010-07-16,88.56,78.17,101.89,79.5,95.54,77.98,88.58
2010-07-19,88.54,78.14,101.79,79.29,95.23,77.5,88.23
2010-07-20,88.54,78.17,101.88,79.38,95.35,77.62,88.33
2010-07-21,88.54,78.21,102.16,79.88,96.28,78.93,88.8
2010-07-22,88.54,78.18,101.98,79.44,95.65,78.02,88.71
2010-07-23,88.56,78.14,101.72,79.19,95.03,77.19,88.49
2010-07-26,88.52,78.12,101.7,79.16,94.9,77.06,88.52
2010-07-27,88.52,78.07,101.45,78.89,94.46,76.32,88.39
2010-07-28,88.54,78.14,101.83,79.23,94.77,76.57,88.69
2010-07-29,88.52,78.21,102.09,79.39,94.94,76.54,88.8
2010-07-30,88.54,78.25,102.44,79.86,95.95,77.74,89.11
2010-08-02,88.52,78.23,102.24,79.61,95.31,76.64,89.28
2010-08-03,88.52,78.28,102.68,79.99,95.8,77.09,89.75
2010-08-04,88.52,78.22,102.34,79.65,95.39,76.5,89.44
2010-08-05,88.52,78.31,102.61,80.04,95.9,76.85,89.77
2010-08-06,88.52,78.33,102.93,80.56,96.68,77.69,89.85
2010-08-09,88.52,78.28,102.83,80.54,96.51,77.4,89.81
2010-08-10,88.54,78.32,103.21,80.95,97.0,77.57,90.37
2010-08-11,88.56,78.34,103.41,81.41,97.88,78.61,90.36
2010-08-12,88.56,78.32,103.18,81.2,97.6,78.41,89.76
2010-08-13,88.56,78.31,103.34,81.55,98.29,79.39,90.0
2010-08-16,88.54,78.39,103.66,82.14,99.51,81.38,90.29
2010-08-17,88.56,78.37,103.48,81.72,99.01,80.91,90.09
2010-08-18,88.54,78.39,103.39,81.64,99.14,81.13,90.04
2010-08-19,88.54,78.41,103.58,82.01,99.89,82.4,90.05
2010-08-20,88.56,78.38,103.34,81.74,99.54,82.3,89.94
2010-08-23,88.54,78.39,103.51,81.85,99.66,82.32,89.94
2010-08-24,88.54,78.44,103.91,82.5,100.79,83.64,90.24
2010-08-25,88.56,78.37,103.64,82.12,100.24,83.37,90.24
2010-08-26,88.54,78.37,103.8,82.5,100.9,84.15,90.73
2010-08-27,88.54,78.31,103.21,81.55,99.2,81.77,90.19
2010-08-30,88.56,78.41,103.74,82.17,100.53,83.33,90.59
2010-08-31,88.54,78.43,103.93,82.54,101.16,84.26,90.84
2010-09-01,88.54,78.39,103.6,81.94,99.96,82.52,90.46
2010-09-02,88.56,78.37,103.46,81.6,99.36,81.64,90.29
2010-09-03,88.56,78.33,103.17,81.14,98.63,80.63,90.15
2010-09-07,88.54,78.42,103.59,81.78,99.68,82.28,90.65
2010-09-08,88.54,78.36,103.39,81.55,99.23,81.63,90.38
2010-09-09,88.54,78.28,102.88,80.91,98.14,80.02,90.18
2010-09-10,88.54,78.27,102.75,80.68,97.83,79.65,90.27
2010-09-13,88.54,78.33,103.13,81.06,98.21,80.04,90.89
2010-09-14,88.56,78.39,103.47,81.47,98.88,80.81,90.79
2010-09-15,88.56,78.41,103.38,81.19,98.22,79.61,90.6
2010-09-16,88.56,78.42,103.28,80.9,97.68,78.83,90.42
2010-09-17,88.54,78.44,103.4,81.09,97.85,79.15,90.16
2010-09-20,88.54,78.45,103.6,81.34,98.21,79.6,90.51
2010-09-21,88.54,78.51,104.1,82.09,99.27,80.71,91.67
2010-09-22,88.54,78.5,104.07,82.22,99.58,81.43,91.79
2010-09-23,88.54,78.51,104.15,82.34,99.79,81.67,91.73
2010-09-24,88.56,78.5,103.94,81.93,98.99,80.57,91.26
2010-09-27,88.56,78.52,104.32,82.56,100.1,81.97,91.53
2010-09-28,88.54,78.54,104.52,82.84,100.64,82.53,92.17
2010-09-29,88.54,78.52,104.45,82.64,100.42,82.19,91.76
2010-09-30,88.54,78.53,104.42,82.54,100.27,82.13,91.56
2010-10-01,88.54,78.54,104.49,82.58,100.24,81.74,91.81
2010-10-04,88.56,78.55,104.68,82.87,100.53,81.95,91.95
2010-10-05,88.54,78.59,104.79,82.89,100.28,81.46,92.54
2010-10-06,88.54,78.6,105.03,83.42,101.15,82.48,93.35
2010-10-07,88.54,78.66,105.13,83.51,100.94,81.79,93.14
2010-10-08,88.54,78.66,105.22,83.54,100.89,81.43,93.76
2010-10-11,88.54,78.67,105.27,83.62,101.04,81.45,93.76
2010-10-12,88.54,78.62,105.08,83.38,100.47,80.64,93.47
2010-10-13,88.54,78.62,105.18,83.38,100.3,80.52,94.03
2010-10-14,88.56,78.59,104.86,82.91,99.56,79.32,94.33
2010-10-15,88.54,78.62,104.78,82.55,98.79,78.35,93.72
2010-10-18,88.56,78.63,105.14,82.94,99.48,78.98,93.93
2010-10-19,88.54,78.67,105.22,83.22,99.75,79.46,93.98
2010-10-20,88.54,78.68,105.27,83.17,99.85,79.63,93.96
2010-10-21,88.54,78.69,105.04,82.71,99.18,78.68,93.96
2010-10-22,88.56,78.67,104.98,82.74,99.25,79.21,93.98
2010-10-25,88.54,78.69,104.91,82.71,99.5,79.44,94.27
2010-10-26,88.56,78.62,104.53,82.16,98.44,78.21,93.76
2010-10-27,88.56,78.58,104.22,81.69,97.78,77.53,93.18
2010-10-28,88.54,78.68,104.75,82.16,98.21,77.74,93.51
2010-10-29,88.56,78.7,105.03,82.53,98.65,78.46,93.82
2010-11-01,88.56,78.73,105.08,82.39,98.48,78.13,93.97
2010-11-02,88.52,78.69,105.16,82.67,99.13,79.15,94.2
2010-11-03,88.54,78.71,105.45,82.94,98.58,77.54,94.03
2010-11-04,88.54,78.73,105.78,83.61,99.46,78.14,94.26
2010-11-05,88.54,78.67,105.49,83.25,98.73,76.8,93.94
2010-11-08,88.54,78.63,105.44,83.28,98.76,77.15,94.06
2010-11-09,88.54,78.53,104.86,82.58,97.54,75.45,93.21
2010-11-10,88.54,78.57,105.07,82.89,97.81,75.55,93.44
2010-11-11,88.52,78.45,104.91,82.79,97.68,75.51,93.45
2010-11-12,88.56,78.45,104.41,82.11,96.88,75.1,92.68
2010-11-15,88.56,78.41,103.68,81.05,95.39,73.53,91.52
2010-11-16,88.56,78.44,103.93,81.65,96.68,75.36,91.69
2010-11-17,88.56,78.49,103.89,81.42,96.17,74.94,91.7
2010-11-18,88.54,78.5,103.69,81.23,95.99,75.25,91.86
2010-11-19,88.54,78.45,103.65,81.4,96.42,75.71,92.12
2010-11-22,88.54,78.53,104.1,81.83,96.96,76.03,92.44
2010-11-23,88.54,78.57,104.24,82.0,97.3,76.41,92.47
2010-11-24,88.56,78.44,103.59,81.12,95.99,75.05,91.98
2010-11-26,88.56,78.49,103.78,81.47,96.56,76.09,92.25
2010-11-29,88.56,78.48,103.84,81.65,96.95,76.74,92.35
2010-11-30,88.56,78.54,104.02,81.79,97.3,77.14,92.24
2010-12-01,88.54,78.42,103.33,80.71,95.66,75.42,91.64
2010-12-02,88.54,78.42,103.09,80.51,95.39,75.23,91.6
2010-12-03,88.56,78.52,103.3,80.52,95.24,74.64,91.59
2010-12-06,88.54,78.57,103.69,81.02,96.05,75.69,91.96
2010-12-07,88.54,78.43,102.85,79.68,94.28,74.07,91.04
2010-12-08,88.54,78.31,102.21,79.0,93.43,73.36,90.16
2010-12-09,88.56,78.3,102.01,79.17,93.58,73.72,90.05
2010-12-10,88.56,78.27,101.65,78.5,92.86,73.27,89.61
2010-12-13,88.56,78.32,102.0,78.75,93.24,73.54,90.15
2010-12-14,88.56,78.28,101.42,77.92,91.87,72.47,89.29
2010-12-15,88.54,78.25,101.23,77.6,91.49,71.53,89.57
2010-12-16,88.54,78.27,101.46,78.06,92.01,72.03,89.96
2010-12-17,88.56,78.34,101.91,78.73,92.96,73.34,90.57
2010-12-20,88.56,78.35,101.97,78.72,92.97,73.26,90.56
2010-12-21,88.56,78.34,101.99,78.89,93.11,73.77,90.72
2010-12-22,88.54,78.32,101.83,78.67,92.81,73.24,90.65
2010-12-23,88.54,78.21,101.55,78.4,92.46,73.1,90.31
2010-12-27,88.54,78.26,101.67,78.7,93.11,73.75,90.5
2010-12-28,88.56,78.16,101.16,77.87,91.84,72.3,89.83
2010-12-29,88.54,78.34,101.89,78.75,93.07,73.53,90.41
2010-12-30,88.56,78.32,101.73,78.59,92.95,73.47,90.33
2010-12-31,88.54,78.41,101.89,78.98,93.55,74.28,90.96
2011-01-03,88.56,78.39,101.95,78.74,93.21,73.72,90.57
2011-01-04,88.56,78.37,102.01,78.92,93.29,73.81,90.8
2011-01-05,88.56,78.23,101.44,78.07,91.99,72.19,90.46
2011-01-06,88.56,78.32,101.66,78.48,92.45,72.5,90.72
2011-01-07,88.54,78.43,102.18,79.0,93.01,72.89,91.01
2011-01-10,88.56,78.47,102.44,79.27,93.42,73.28,91.27
2011-01-11,88.56,78.42,102.24,78.96,93.03,72.87,91.3
2011-01-12,88.54,78.42,102.13,78.73,92.63,72.3,91.28
2011-01-13,88.54,78.45,102.53,79.26,93.3,72.95,91.56
2011-01-14,88.54,78.45,102.45,79.04,93.07,72.49,91.16
2011-01-18,88.54,78.43,102.29,78.85,92.71,72.15,91.18
2011-01-19,88.56,78.47,102.42,79.05,93.05,72.67,91.21
2011-01-20,88.56,78.38,101.97,78.44,92.2,71.66,90.35
2011-01-21,88.54,78.4,102.12,78.7,92.53,72.23,90.52
2011-01-24,88.54,78.39,102.13,78.7,92.58,72.26,90.46
2011-01-25,88.56,78.45,102.44,79.1,93.35,72.95,90.81
2011-01-26,88.54,78.43,102.19,78.62,92.45,71.85,90.66
2011-01-27,88.56,78.48,102.4,78.92,92.71,72.17,90.6
2011-01-28,88.54,78.52,102.68,79.28,93.25,72.55,90.95
2011-01-31,88.54,78.51,102.51,78.97,92.82,72.0,90.97
2011-02-01,88.54,78.43,102.19,78.6,92.31,71.64,90.89
2011-02-02,88.54,78.38,101.94,78.41,92.1,71.66,90.65
2011-02-03,88.54,78.3,101.56,77.97,91.69,71.06,90.17
2011-02-04,88.56,78.24,101.14,77.48,90.92,70.34,89.66
2011-02-07,88.54,78.2,101.06,77.45,90.92,70.71,89.65
2011-02-08,88.54,78.1,100.58,76.92,90.3,70.06,89.18
2011-02-09,88.56,78.15,100.88,77.36,90.92,70.67,89.43
2011-02-10,88.54,78.12,100.66,77.1,90.62,69.85,88.88
2011-02-11,88.54,78.12,100.83,77.46,91.21,70.86,89.34
2011-02-14,88.54,78.12,100.84,77.48,91.49,70.9,89.41
2011-02-15,88.56,78.15,100.97,77.66,91.7,71.22,89.52
2011-02-16,88.56,78.15,100.93,77.55,91.54,70.99,89.39
2011-02-17,88.56,78.24,101.22,77.84,91.84,71.1,89.73
2011-02-18,88.54,78.27,101.29,77.82,91.82,70.88,90.2
2011-02-22,88.54,78.35,101.91,78.57,92.88,71.94,90.91
2011-02-23,88.56,78.33,101.77,78.38,92.76,72.2,91.24
2011-02-24,88.56,78.37,101.81,78.58,93.08,72.66,91.57
2011-02-25,88.56,78.39,101.95,78.83,93.49,73.09,91.87
2011-02-28,88.54,78.42,102.07,78.8,93.51,73.18,91.63
2011-03-01,88.54,78.46,102.2,78.89,93.55,73.4,92.16
2011-03-02,88.56,78.43,101.94,78.48,92.85,72.27,91.89
2011-03-03,88.54,78.27,101.37,77.94,92.14,71.56,91.64
2011-03-04,88.56,78.45,101.94,78.5,92.78,72.16,92.25
2011-03-07,88.54,78.39,101.8,78.31,92.48,71.7,92.18
2011-03-08,88.54,78.36,101.76,78.12,92.14,71.26,92.23
2011-03-09,88.54,78.42,102.02,78.58,92.72,71.95,92.36
2011-03-10,88.54,78.5,102.57,79.25,93.8,73.16,92.89
2011-03-11,88.56,78.51,102.52,79.06,93.51,72.74,92.74
2011-03-14,88.56,78.56,102.77,79.24,93.66,72.71,92.87
2011-03-15,88.57,78.52,102.84,79.53,94.27,73.8,92.85
2011-03-16,88.57,78.66,103.42,80.2,95.16,74.64,93.51
2011-03-17,88.57,78.62,103.23,79.96,94.8,74.06,93.7
2011-03-18,88.57,78.59,103.09,79.91,94.74,74.26,93.63
2011-03-21,88.57,78.5,102.66,79.49,94.28,73.83,93.23
2011-03-22,88.54,78.48,102.64,79.53,94.41,74.07,93.0
2011-03-23,88.56,78.49,102.55,79.43,94.17,73.98,92.85
2011-03-24,88.54,78.44,102.27,79.03,93.69,73.42,92.93
2011-03-25,88.54,78.38,102.04,78.81,93.45,73.24,92.5
2011-03-28,88.56,78.34,101.98,78.84,93.46,73.34,92.55
2011-03-29,88.54,78.31,101.78,78.61,93.12,72.78,92.36
2011-03-30,88.56,78.36,102.03,78.88,93.42,73.36,92.68
2011-03-31,88.54,78.31,101.8,78.68,93.32,73.21,92.72
2011-04-01,88.54,78.38,101.89,78.85,93.39,73.56,92.96
2011-04-04,88.54,78.4,102.13,79.03,93.63,73.64,93.38
2011-04-05,88.54,78.31,101.75,78.63,93.2,73.35,93.21
2011-04-06,88.54,78.31,101.53,78.29,92.52,72.24,92.7
2011-04-07,88.56,78.37,101.72,78.3,92.37,72.1,92.87
2011-04-08,88.54,78.34,101.58,78.07,92.13,71.72,93.06
2011-04-11,88.54,78.33,101.61,78.17,92.2,71.78,92.99
2011-04-12,88.56,78.46,102.1,78.61,92.85,72.56,93.46
2011-04-13,88.56,78.5,102.22,78.92,93.24,73.01,93.67
2011-04-14,88.54,78.42,102.04,78.65,93.06,72.96,93.55
2011-04-15,88.56,78.57,102.48,79.23,93.93,73.94,94.23
2011-04-18,88.54,78.59,102.77,79.42,94.18,74.11,94.26
2011-04-19,88.54,78.61,102.82,79.53,94.38,74.43,94.59
2011-04-20,88.54,78.6,102.57,79.21,93.92,73.95,94.27
2011-04-21,88.54,78.58,102.59,79.27,93.96,73.89,94.1
2011-04-25,88.54,78.59,102.78,79.55,94.36,74.17,94.35
2011-04-26,88.54,78.67,103.04,79.89,94.91,74.89,94.68
2011-04-27,88.54,78.7,103.02,79.66,94.37,74.12,94.45
2011-04-28,88.54,78.7,103.27,79.97,94.73,74.69,94.73
2011-04-29,88.54,78.73,103.42,80.13,95.12,74.92,94.92
2011-05-02,88.54,78.72,103.47,80.1,95.15,75.04,95.08
2011-05-03,88.54,78.75,103.56,80.32,95.44,75.46,95.24
2011-05-04,88.57,78.79,103.61,80.52,95.86,75.8,95.32
2011-05-05,88.57,78.8,103.88,80.92,96.51,76.52,95.21
2011-05-06,88.57,78.81,103.97,80.96,96.42,76.18,95.24
2011-05-09,88.57,78.85,104.07,81.08,96.44,76.1,95.44
2011-05-10,88.57,78.78,103.81,80.69,96.04,75.56,95.18
2011-05-11,88.57,78.85,104.05,80.98,96.42,75.99,94.88
2011-05-12,88.57,78.81,103.97,80.8,96.14,75.51,94.77
2011-05-13,88.56,78.85,104.14,81.12,96.65,76.19,94.76
2011-05-16,88.56,78.89,104.31,81.31,96.98,76.62,94.78
2011-05-17,88.56,78.9,104.44,81.55,97.44,77.4,94.86
2011-05-18,88.54,78.86,104.14,81.08,96.74,76.38,94.81
2011-05-19,88.57,78.87,104.23,81.17,96.73,76.34,94.56
2011-05-20,88.56,78.9,104.39,81.36,96.88,76.38,94.52
2011-05-23,88.56,78.91,104.45,81.47,97.18,76.75,94.53
2011-05-24,88.56,78.91,104.51,81.56,97.35,77.04,95.01
2011-05-25,88.56,78.94,104.54,81.57,97.23,76.68,95.04
2011-05-26,88.56,78.99,104.9,82.02,97.82,77.34,95.27
2011-05-27,88.56,79.02,104.97,82.01,97.61,77.31,95.42
2011-05-31,88.56,79.02,105.09,82.14,97.82,77.48,95.18
2011-06-01,88.54,79.07,105.55,82.81,98.95,78.53,95.86
2011-06-02,88.54,79.03,105.22,82.32,97.89,77.03,95.51
2011-06-03,88.54,79.05,105.43,82.64,98.29,77.48,95.66
2011-06-06,88.54,79.06,105.5,82.59,97.99,76.89,95.7
2011-06-07,88.56,79.12,105.67,82.74,98.17,77.24,95.84
2011-06-08,88.56,79.13,105.88,82.92,98.63,77.85,95.83
2011-06-09,88.54,79.04,105.57,82.59,98.18,77.53,95.72
2011-06-10,88.56,79.11,105.67,82.86,98.65,78.13,95.69
2011-06-13,88.54,79.08,105.6,82.68,98.38,77.73,95.68
2011-06-14,88.56,79.02,105.11,82.02,97.33,76.56,95.42
2011-06-15,88.56,79.13,105.76,82.91,98.44,77.95,95.91
2011-06-16,88.56,79.14,105.87,83.14,98.99,78.3,95.84
